Probes,Inv_21,Inv_22,Inv_27,Inv_29,Inv_31,Inv_32,Inv_35,Inv_4,Inv_40,Inv_43,Inv_49,Inv_45,Inv_47,Inv_48,Inv_52,Inv_54,Inv_55,Inv_61,Inv_62,Inv_9
s4_502-99,1,1,1,1,1,1,1,1,0,1,2,1,1,1,2,1,1,1,1,0
s7_502-135,0,0,0,0,1,1,1,0,1,1,1,1,2,2,1,1,1,0,0,1
s7_502-134,1,1,2,1,2,2,2,2,1,2,1,2,1,1,0,0,0,0,0,0
s7_502-139,0,0,2,2,2,2,1,1,1,1,2,1,0,0,2,0,0,0,0,2
s7_502-138,1,1,1,0,0,1,1,1,1,1,2,1,0,0,1,1,1,1,0,2
s3_502-63a,2,2,2,1,0,0,1,1,1,0,1,0,1,1,1,2,2,1,1,2
s2_502-3,1,0,0,1,2,1,1,1,2,2,1,2,2,2,1,0,0,0,0,1
s5_502-109,1,1,1,1,1,1,2,1,0,2,0,2,1,1,0,1,1,0,2,0
s4_502-45,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
s7_502-104,1,1,2,0,1,1,1,1,2,1,2,1,0,0,1,0,0,0,1,0
s7_502-101,0,1,1,0,1,1,0,1,2,0,0,0,1,1,1,0,0,1,1,1
s6_502-113,2,2,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
s6_502-111,0,0,1,1,1,1,1,0,1,0,1,0,2,2,1,0,0,1,2,1
s6_502-116,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2
s6_502-117,1,1,2,2,2,2,1,1,1,0,2,1,2,2,1,2,2,1,1,1
s6_502-114,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
s6_502-115,0,1,0,1,0,0,0,1,1,1,1,1,2,1,1,1,1,0,1,2
s6_502-119,1,1,1,0,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2
s3_502-37b,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,2,2,2,1,1
s3_502-37a,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0
s3_502-66,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,0
s7_502-153,1,1,1,1,2,2,2,1,0,1,1,1,2,2,1,2,2,1,1,1
s7_502-55,1,1,2,1,1,1,1,2,2,1,1,1,2,2,0,2,2,2,2,2
s7_502-59,0,0,2,0,2,2,1,2,0,2,0,2,0,0,1,1,1,2,1,2
s5_502-118,1,1,2,0,1,1,1,0,1,2,2,1,1,1,1,1,1,0,0,1
s6_502-107,1,1,2,1,1,1,1,1,1,2,1,2,0,0,1,2,2,0,1,1
s6_502-106,0,0,2,2,1,1,1,1,1,1,1,1,2,2,2,0,0,1,1,1
s7_502-47,1,1,0,1,2,2,1,0,1,1,1,1,0,0,2,1,1,1,0,0
s7_502-162,1,2,0,0,2,2,1,2,2,2,0,2,1,2,0,0,0,2,2,0
s7_502-161,2,2,2,1,2,2,2,1,1,1,1,1,0,0,0,0,0,2,2,0
s6_502-136,1,1,1,2,1,1,1,0,1,0,2,0,1,1,1,2,2,1,1,2
s6_502-137,1,1,1,0,0,0,1,0,1,1,2,1,2,2,1,2,2,0,0,1
s6_502-133,2,2,1,1,1,1,0,1,0,1,2,1,1,1,2,1,1,1,0,1
s3_502-42,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,0,0,2,2,1
s6_502-129,2,2,2,1,1,1,1,1,2,2,1,2,0,0,1,1,1,2,1,2
s6_502-128,1,0,2,1,1,1,0,0,1,1,1,1,1,1,0,0,0,2,2,0
s6_502-122,1,1,0,0,0,0,1,0,1,1,2,1,0,0,0,2,2,1,2,0
s6_502-121,1,1,1,0,0,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1
s6_502-120,1,1,2,0,0,0,0,1,2,1,1,1,1,1,1,2,2,2,2,1
s6_502-127,1,1,2,2,2,1,1,2,1,1,1,1,0,0,1,0,0,1,1,2
s6_502-126,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1
s6_502-124,1,1,1,0,0,0,1,2,0,2,1,2,2,2,1,1,1,1,1,1
s7_502-26,2,1,1,1,1,1,0,1,0,0,1,0,1,2,0,1,1,2,2,1
s7_502-27,1,1,2,0,0,0,1,2,1,0,1,0,0,0,2,2,2,1,1,0
s5_502-94,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2
s7_502-142,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
s7_502-145,1,1,2,2,2,2,2,1,2,1,1,1,2,2,1,2,2,2,2,1
s7_502-147,1,1,1,0,1,2,1,1,2,0,1,0,0,0,1,1,1,1,1,1
s7_502-148,1,0,2,1,2,2,0,0,0,1,1,1,2,2,1,0,0,2,1,2
s7_502-149,1,1,0,2,1,1,0,2,2,2,1,1,2,2,0,0,0,0,1,2
s2_502-83,1,1,1,0,0,0,1,2,2,2,0,2,2,2,1,2,2,1,1,1
s2_502-87,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,2,2,0
s2_502-86,0,2,0,2,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0
s2_502-84,1,1,0,1,1,0,1,1,1,2,1,2,1,1,2,2,2,1,1,0
s2_502-89,2,2,1,1,0,0,0,0,2,0,0,0,1,1,2,1,1,0,1,1
s2_502-88,1,1,1,2,1,1,0,1,2,1,2,1,2,2,0,1,1,1,1,1
s2_502-67,2,1,0,1,1,2,2,1,1,1,0,1,2,2,1,1,1,0,0,2
s6_502-158,2,2,0,2,1,1,1,2,2,1,0,1,1,1,0,2,2,1,0,0
s6_502-152,1,1,2,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,1
s3_502-48a,1,1,1,2,1,1,1,2,1,0,1,0,2,2,0,2,2,2,2,2
s7_502-11,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,2,2,1,1,1
s7_502-155,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,2,2,0,0,1
s7_502-154,2,2,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,2,2,1
s5_502-82,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,1,1,0,0,0
s5_502-80,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
s5_502-81,1,1,1,2,1,1,1,0,2,1,1,1,0,0,1,1,1,1,1,2
s7_502-156,1,1,2,0,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1
s2_502-90,0,0,0,2,2,2,1,0,0,0,2,0,2,2,0,2,2,2,2,0
s2_502-91,1,1,1,1,0,0,1,0,1,1,2,1,0,0,1,2,2,1,1,0
s2_502-92,2,2,1,0,0,0,0,0,1,2,1,2,0,0,2,1,1,1,1,1
s2_502-93,1,2,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
s2_502-79,2,2,2,2,1,1,0,2,1,2,0,2,1,1,1,1,1,1,1,1
s2_502-72,1,1,0,1,2,2,2,1,2,2,1,2,0,0,1,2,2,1,0,1
s2_502-70,2,2,2,0,0,0,0,1,2,0,0,0,1,1,1,1,1,0,0,0
s2_502-71,2,2,0,0,0,0,1,0,0,0,1,0,2,2,1,1,1,0,0,2
s2_502-76,2,1,1,2,2,2,2,2,1,2,0,2,0,0,1,1,1,1,1,1
s2_502-77,0,1,2,2,1,1,1,0,1,1,1,1,1,1,2,0,0,2,2,1
s2_502-74,1,0,2,2,1,1,1,1,1,2,0,2,2,2,2,2,2,1,1,2
s2_502-75,2,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,1,0
s6_502-144,2,2,2,1,1,0,1,1,2,0,2,0,0,0,2,2,2,0,0,1
s6_502-140,1,1,0,1,1,1,0,1,2,1,1,1,0,0,2,1,1,0,1,1
s6_502-143,1,1,1,1,0,0,1,1,2,1,1,1,1,1,1,1,1,0,0,0
s7_502-150,1,1,1,2,1,1,1,0,1,2,1,2,0,0,1,1,1,1,1,1
s4_502-97,2,2,2,1,2,1,0,1,2,1,0,1,1,1,1,1,1,1,1,0
s67_502-159,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
s7_502-188,2,2,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,1,1,2
s6_502-170,1,1,0,2,2,2,2,2,0,0,0,0,1,1,0,0,0,2,2,2
s6_502-171,1,1,2,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1
s6_502-172,1,1,0,2,2,2,1,1,1,2,0,2,1,1,0,1,1,2,2,0
s6_502-173,1,1,0,2,2,2,2,1,0,1,2,1,2,2,1,0,0,0,0,1
s6_502-174,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,0,0,1,1,2
s6_502-175,0,0,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1
s6_502-176,0,0,0,0,2,2,2,0,0,0,1,0,2,2,0,0,0,0,1,1
s6_502-177,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,2,1
s6_502-178,2,2,0,2,2,2,1,1,2,1,0,1,2,2,1,0,0,2,1,1
s6_502-179,0,1,0,1,2,2,1,2,1,0,2,0,1,1,2,0,0,2,2,2
s6_502-193,0,0,2,2,0,0,2,1,2,1,2,1,1,1,1,1,1,1,1,1
s6_502-196,0,0,2,0,0,0,0,1,0,0,0,0,2,2,1,1,1,2,1,1
s6_502-197,0,0,0,2,2,2,1,1,0,1,1,1,0,1,2,0,0,2,1,0
s6_502-194,1,1,1,2,1,1,1,1,0,0,1,0,0,0,1,0,0,2,1,1
s6_502-195,0,2,2,1,1,1,1,2,0,0,1,0,1,1,0,2,2,1,1,1
s6_502-108,2,2,2,1,2,2,2,0,2,1,1,1,2,2,0,2,2,2,2,2
s7_502-191,1,1,1,1,1,1,0,1,0,0,2,0,2,2,1,1,1,0,1,1
s6_502-167,0,1,0,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,0
s6_502-166,0,0,1,1,1,1,1,1,2,1,2,1,2,2,0,2,2,0,0,0
s6_502-165,1,1,0,0,0,0,1,1,1,2,1,2,1,1,1,2,2,0,1,2
s6_502-164,1,1,1,0,1,1,1,1,0,1,1,2,0,0,1,1,1,0,0,0
s6_502-163,1,1,1,2,1,1,1,1,1,2,0,1,2,2,1,2,2,1,1,1
s6_502-160,0,1,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,1,2,0
s6_502-169,2,2,0,2,2,2,1,2,1,1,0,1,1,1,1,0,0,1,1,2
s6_502-168,2,2,1,1,1,1,1,2,0,1,1,1,0,0,1,1,1,1,1,1
s6_502-181,1,1,1,2,1,1,0,2,1,0,1,0,0,0,2,1,1,2,2,0
s6_502-180,1,1,2,1,1,1,0,1,1,1,1,2,2,2,1,0,0,1,1,0
s6_502-183,2,2,2,1,2,2,2,0,1,1,1,1,0,0,1,2,2,1,1,1
s6_502-182,1,1,2,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1
s6_502-185,2,2,1,1,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0
s6_502-184,2,2,1,1,2,2,1,1,1,0,1,0,2,2,1,1,1,2,1,0
s6_502-187,1,2,1,1,0,0,1,2,1,1,0,1,1,1,1,1,1,0,0,1
s6_502-186,2,2,2,2,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0
s4_502-29,1,1,1,2,1,1,1,0,1,1,1,1,0,0,2,1,1,2,1,1
s25_502-78,2,2,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1
s4_502-103,0,2,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2
s4_502-102,2,2,2,1,1,1,1,2,0,0,1,0,1,1,1,1,1,2,2,1
s4_502-100,1,1,1,2,0,0,1,2,0,1,1,1,1,2,2,1,1,2,0,1
s7_502-141,1,1,2,1,2,2,1,2,0,1,1,1,0,0,1,0,0,0,0,1
