Probes,Inv_10b,Inv_15,Inv_16,Inv_25,Inv_29,Inv_32,Inv_33,Inv_35,Inv_4,Inv_40,Inv_49,Inv_51,Inv_53,Inv_58,Inv_62,Inv_7,Inv_9
s5_155-63,2,1,1,0,1,1,1,0,1,1,2,2,0,2,1,2,2
s5_155-88,1,1,1,1,1,1,1,1,1,2,2,2,0,1,0,1,1
s5_155-138,2,0,0,1,2,1,1,1,1,1,0,0,1,0,1,2,2
s5_155-133,1,2,2,1,2,1,1,1,1,1,2,2,0,1,1,1,1
s5_155-132,1,1,1,2,1,0,1,1,0,0,1,1,1,1,1,1,1
s5_155-131,2,0,0,1,1,0,1,2,1,1,0,0,0,1,1,2,2
s5_155-130,1,1,1,0,2,1,1,1,1,1,1,1,1,2,1,1,1
s5_155-137,1,2,2,0,1,1,1,1,2,0,1,1,1,1,1,1,1
s5_155-136,1,2,2,1,1,1,0,0,0,2,1,1,1,2,2,1,1
s5_155-135,0,1,1,1,2,1,1,1,0,1,2,2,1,1,0,1,0
s5_155-134,1,0,0,1,2,1,1,1,1,1,1,1,1,2,0,1,1
s1_155-48,2,1,1,1,2,0,0,0,0,1,2,2,1,2,1,2,2
s1_155-43,1,1,1,0,1,2,2,2,1,0,1,1,0,1,1,1,1
s1_155-47,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1
s1_155-44,1,1,1,1,1,1,1,1,1,2,2,2,2,0,2,1,1
s1_155-45,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0
s4_155-41,1,1,1,2,1,2,2,2,2,1,0,0,1,1,0,0,1
s4_155-40,2,1,1,2,0,1,1,2,2,2,1,1,0,1,1,1,2
s1_155-8,1,2,2,1,0,0,1,1,1,2,2,2,0,1,1,1,1
s57_155-71,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0
s2_155-215,1,1,1,1,1,1,1,1,0,1,0,0,0,2,2,2,1
s3_155-72,2,1,1,2,0,2,2,2,1,1,1,1,1,1,1,1,2
s5_155-83,1,2,2,1,1,1,1,1,1,1,2,2,0,2,1,2,1
s7_155-75,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1
s7_155-79,1,1,1,1,2,1,1,1,2,1,1,1,0,1,2,1,1
s5_155-145,1,0,0,0,2,2,2,2,2,0,0,0,1,0,2,2,1
s5_155-143,2,1,0,1,0,1,1,1,2,0,1,1,1,0,1,2,2
s5_155-141,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,2,0
s5_155-84,1,1,2,2,2,1,1,1,0,1,2,2,1,0,1,1,1
s4_155-52,2,1,1,1,1,0,0,0,1,1,2,2,1,2,1,2,2
s4_155-51,1,2,2,1,1,2,2,1,1,2,0,0,0,1,1,1,1
s57_155-46,1,2,2,1,2,2,2,2,1,0,2,2,0,1,2,0,1
s25_155-259,2,1,1,0,2,2,2,1,0,0,1,1,1,1,1,1,2
s4_155-151,2,1,1,1,0,1,1,2,1,2,1,1,1,1,1,2,2
s3_155-101a,2,1,1,1,1,2,2,1,0,0,0,0,1,0,1,2,2
s7_155-274,1,1,1,1,2,1,1,0,2,0,1,1,1,0,1,1,1
s3_155-69,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1
s57_155-57,0,0,0,1,1,2,1,1,2,0,1,1,0,1,0,0,0
s57_155-59,1,1,1,0,0,1,1,1,2,1,0,0,0,2,2,0,1
s4_155-62,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1
s25_155-249,2,2,2,1,0,0,0,0,1,1,0,0,1,1,1,1,2
s25_155-244,2,0,0,0,1,1,1,1,2,0,1,1,1,1,2,2,2
s5_155-125,1,1,1,2,0,1,1,1,0,1,1,1,1,1,0,2,1
s257_155-252,0,1,1,2,2,1,1,1,2,2,0,0,1,0,0,2,0
s57_155-81,1,1,1,0,2,1,1,0,0,1,0,0,0,2,0,1,1
s4_155-78,1,2,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
s4_155-74,1,1,1,0,2,2,2,1,2,2,2,2,1,1,2,2,1
s12_155-214,0,1,1,1,2,2,2,1,1,1,0,0,1,2,1,0,0
s5_155-216,0,1,1,0,1,1,1,1,1,1,0,0,1,2,1,0,0
s4_155-9,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0
s47_155-154,1,1,1,0,1,2,2,2,1,1,2,2,0,1,2,1,1
s2_155-241,2,1,1,0,0,2,2,2,0,1,1,2,0,2,2,2,2
s14_155-239,2,1,1,1,2,1,1,1,0,1,0,0,0,1,0,2,2
s14_155-232,1,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1
s4_155-153,1,2,2,1,1,1,1,1,2,1,1,1,1,2,0,1,1
s4_155-86,2,1,1,1,0,0,0,1,2,1,0,0,0,0,0,2,2
s3_155-146,0,1,2,1,1,1,1,1,2,1,0,0,0,2,2,1,0
s3_155-147,1,1,1,0,1,1,1,0,1,2,1,1,0,1,0,1,1
s3_155-140,1,2,2,2,1,1,1,1,2,0,1,1,1,1,1,2,1
s3_155-148,1,0,0,0,0,0,0,1,1,2,0,0,2,2,1,1,1
s3_155-149,0,1,1,2,1,0,0,0,2,0,0,0,1,0,2,1,0
s3_155-122,1,2,2,1,1,1,1,1,2,2,1,1,1,1,0,2,1
s3_155-120,2,2,2,1,2,1,1,1,2,2,1,1,1,1,0,2,2
s1_155-278,1,1,1,2,1,1,1,1,2,0,1,1,0,2,1,0,1
s1_155-279,0,2,1,2,0,0,0,1,0,1,1,1,0,1,1,0,0
s3_155-99,0,2,2,1,0,1,2,2,0,0,1,1,0,1,2,0,0
s3_155-98,1,0,0,1,2,1,1,1,1,1,0,0,0,1,2,1,1
s3_155-95,1,2,2,1,1,2,2,2,1,1,0,0,1,1,0,2,1
s3_155-68,1,0,0,2,1,1,1,1,1,1,2,2,0,1,1,2,1
s4_155-92,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0
s3_155-150,0,2,2,0,1,0,0,1,2,2,2,2,1,2,1,0,0
s7_155-21,1,2,2,2,1,1,1,1,2,0,2,2,2,1,0,1,1
s7_155-221,2,2,2,1,2,0,0,0,2,1,1,1,2,1,1,2,2
s3_155-123,2,2,2,0,0,1,1,1,2,1,1,1,1,1,0,2,2
s2_155-228,1,1,1,1,0,0,0,1,1,1,2,2,1,0,0,1,1
s2_155-229,0,0,0,1,1,2,2,1,2,2,1,1,0,1,1,0,0
s2_155-224,1,2,2,0,0,1,1,1,1,1,1,1,2,1,1,1,1
s2_155-226,2,1,1,1,1,1,1,1,2,2,2,2,0,1,2,2,2
s5_155-225,0,0,0,0,1,1,1,1,2,2,1,1,1,0,1,0,0
s5_155-10,1,2,2,1,1,1,1,0,1,0,0,0,0,0,2,2,1
s5_155-15,1,2,2,2,1,1,1,1,2,2,0,1,0,1,1,1,1
s57_155-248,2,1,1,1,1,0,0,1,0,1,1,1,1,1,0,2,2
s2_155-230,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0
s2_155-237,2,0,0,0,0,1,2,1,1,0,2,2,1,0,1,1,2
s2_155-235,1,2,2,0,0,2,2,2,1,2,2,2,1,1,1,2,1
s3_155-139,1,1,1,1,1,2,2,2,2,2,1,1,0,2,2,2,1
s4_155-242,0,0,0,0,1,2,2,1,0,1,2,2,1,1,2,0,0
s1_155-240,1,2,2,2,2,2,2,1,2,2,1,1,1,1,0,1,1
s15_155-269,0,1,1,1,0,0,0,0,2,1,2,2,2,0,1,1,0
s5_155-80b,0,0,0,0,1,1,2,1,1,1,2,2,1,1,0,0,0
s5_155-80a,0,1,1,2,1,1,0,0,1,1,0,0,0,2,2,2,0
s14_155-275,1,1,0,0,2,0,0,0,1,1,0,0,2,0,0,1,1
s25_155-39,0,0,0,2,1,2,2,1,1,1,1,1,1,1,1,1,0
s25_155-36,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1
s2_155-246,0,2,2,1,1,0,0,0,2,0,0,0,1,1,2,0,0
s2_155-247,1,1,1,1,1,1,1,1,1,0,2,2,1,1,0,0,1
s2_155-243,1,1,1,1,0,1,1,2,0,2,1,1,0,1,0,0,1
s3_155-100,1,2,2,2,2,1,1,0,1,0,2,2,1,0,0,0,1
s3_155-102,2,2,1,1,2,1,1,1,1,2,0,0,0,0,2,1,2
s3_155-103,1,2,2,2,1,0,0,1,1,1,0,0,2,2,2,1,1
s3_155-104,1,2,1,1,1,1,1,0,2,1,1,1,1,1,2,2,1
s3_155-105,0,1,1,0,1,1,1,1,2,1,2,2,0,2,1,0,0
s3_155-106,2,1,1,1,1,2,2,1,1,1,2,2,1,1,0,2,2
s3_155-107,1,1,1,1,1,1,1,1,1,2,1,1,0,2,0,1,1
s3_155-108,1,0,0,1,1,2,1,1,1,2,1,1,1,2,2,1,1
s257_155-267b,2,1,1,1,1,1,1,0,1,0,2,2,1,0,2,2,2
s5_155-245,0,0,0,1,1,0,0,0,2,2,1,1,1,1,0,1,0
s5_155-87,0,2,2,1,1,1,1,2,2,1,2,1,1,1,0,0,0
s5_155-85,2,1,1,2,0,0,0,0,1,2,2,2,1,0,1,2,2
s57_155-26,1,1,1,2,1,1,1,2,0,1,1,1,1,2,1,1,1
s57_155-29,1,1,1,0,0,0,0,0,1,1,1,1,2,0,0,1,1
s2_155-255,1,0,0,0,2,2,1,1,2,0,1,1,1,2,2,0,1
s2_155-254,0,1,1,1,1,2,2,2,1,2,1,1,1,1,0,0,0
s2_155-257,0,2,2,0,1,1,1,1,2,1,2,2,1,1,1,1,0
s2_155-256,2,1,1,1,0,2,2,1,1,1,1,1,1,0,1,2,2
s2_155-251,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,1
s2_155-250,1,1,1,0,0,2,2,1,1,2,1,1,1,1,1,1,1
s2_155-253,2,1,1,1,1,0,0,0,1,0,2,2,0,1,1,2,2
s2_155-258,1,2,2,0,1,0,0,1,2,2,2,2,1,1,1,1,1
s3_155-117,2,1,1,0,0,1,2,1,1,0,1,1,1,0,2,0,2
s3_155-116,0,1,1,0,0,0,1,1,0,0,2,2,2,2,1,0,0
s3_155-115,1,2,2,1,2,1,1,1,2,0,2,2,0,2,1,1,1
s3_155-114,1,2,2,1,1,1,1,0,1,2,1,1,1,1,1,1,1
s3_155-113,0,0,1,0,1,1,1,1,2,2,1,1,2,2,1,1,0
s3_155-111,0,1,1,0,1,1,1,1,0,2,0,0,0,0,1,1,0
s3_155-119,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,2,2
s1_155-267,1,0,0,1,0,1,1,2,2,1,1,1,1,1,2,1,1
s1_155-266,1,1,1,1,1,1,0,0,2,2,1,1,1,1,2,1,1
s1_155-264,1,2,2,1,0,1,1,1,1,0,1,1,0,1,1,1,1
s1_155-268,0,2,2,2,1,2,2,1,1,1,0,0,0,0,1,0,0
s5_155-272,2,1,1,1,0,0,0,0,1,1,2,2,2,0,0,2,2
s5_155-276,1,0,0,1,2,2,2,2,1,0,2,2,1,1,0,2,1
s5_155-277,0,1,1,1,0,1,1,1,2,1,2,2,1,0,0,0,0
s3_155-112,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,0,1
s3_155-110,2,1,1,2,1,1,0,0,1,1,0,0,0,2,2,2,2
s3_155-118,1,1,1,2,1,0,1,1,1,2,1,1,1,2,1,0,1
s2_155-261,0,1,1,2,2,1,1,0,0,1,1,1,1,1,1,0,0
s2_155-262,1,2,2,0,1,1,1,1,2,1,1,1,1,1,2,2,1
s2_155-263,2,0,0,1,1,2,2,2,2,1,0,0,1,1,0,2,2
s1_155-213,1,1,1,1,2,1,1,1,1,2,0,0,1,1,1,1,1
s1_155-218,2,1,1,1,2,1,1,1,0,1,0,0,0,0,1,2,2
s3_155-97,0,2,2,1,1,1,1,2,1,2,2,1,1,0,2,1,0
s2_155-20,1,0,0,1,1,1,2,2,2,2,0,0,1,1,2,2,1
s2_155-25,1,1,1,0,1,1,1,1,1,1,2,2,1,2,2,1,1
s2_155-24,1,0,0,2,1,2,2,2,1,1,1,1,1,2,2,1,1
s2_155-27,2,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,2
s1_155-7,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1
s5_155-54,1,0,0,1,2,2,2,2,1,1,1,1,1,0,0,1,1
s5_155-56,0,2,2,0,1,0,0,0,1,1,2,2,2,0,1,0,0
s5_155-53,1,1,1,1,1,0,0,1,2,1,1,2,2,0,1,1,1
s7_155-142,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
s2_155-32,1,1,1,2,0,0,0,0,1,1,2,2,1,1,0,0,1
s2_155-33,1,2,2,2,1,0,0,2,1,0,1,1,1,1,1,0,1
s2_155-30,1,0,0,0,1,1,1,1,1,1,2,2,1,1,2,0,1
s2_155-37,2,1,1,1,2,1,0,0,1,1,1,2,0,1,0,2,2
s2_155-34,1,0,0,2,1,1,1,1,2,1,0,0,1,1,0,0,1
s5_155-49,1,0,0,1,1,2,2,2,2,2,0,0,0,1,1,0,1
s57_155-55,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2
s57_155-128,1,1,1,2,0,0,1,1,0,1,0,0,1,1,0,2,1
s2_155-236,0,2,2,1,1,2,2,2,1,0,0,0,1,1,0,0,0
