Probes,Inv_17,Inv_19,Inv_23,Inv_25,Inv_27,Inv_28,Inv_29,Inv_32,Inv_40,Inv_41,Inv_43,Inv_53,Inv_54,Inv_61,Inv_62,Inv_7
s5_1192-104,0,0,0,1,1,2,2,1,2,2,1,1,1,1,1,0
s5_1192-106,0,0,1,1,0,1,1,2,2,2,2,1,1,1,2,1
s5_1192-109,2,2,2,1,0,1,1,2,2,2,2,1,0,0,0,2
s17_1192-14o,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
s3_1192-155,2,2,1,1,1,1,1,0,2,2,2,1,1,1,1,1
s4_1192-97,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,2
s5_1192-20,0,0,2,0,1,2,2,0,1,1,0,1,1,1,1,2
s5_1192-25,1,1,1,0,1,1,1,2,1,1,1,2,2,1,1,0
s5_1192-24,1,1,2,0,1,1,1,1,1,1,1,0,0,2,1,1
s5_1192-27,1,0,2,1,1,1,1,1,0,0,1,2,2,2,1,1
s5_1192-26,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,0
s5_1192-117,2,2,1,1,1,0,0,1,2,1,1,1,1,0,0,1
s5_1192-119,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2,1
s4_1192-191,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0
s2_1192-21,1,2,2,0,0,1,0,0,0,0,1,0,1,2,2,0
s3_1192-116,1,1,0,2,1,1,0,0,1,1,1,1,1,1,0,1
s3_1192-111,0,0,1,1,2,0,0,2,1,0,0,1,0,0,1,1
s3_1192-112,1,1,1,0,1,1,0,0,1,1,2,2,1,2,2,2
s3_1192-113,0,0,1,2,0,0,0,0,0,0,2,2,2,0,0,1
s4_1192-188,1,1,0,1,2,2,2,1,0,0,0,1,1,1,1,1
s4_1192-189,0,0,1,2,1,1,1,0,0,0,1,2,2,2,2,1
s27_1192-52,1,1,1,1,2,1,1,2,1,1,1,0,1,2,2,1
s57_1192-136,1,1,0,1,1,2,2,1,2,1,1,1,1,1,1,2
s57_1192-134,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,1
s3_1192-120,0,0,1,1,1,2,1,1,0,0,1,0,0,1,1,1
s3_1192-122,0,0,2,1,1,1,1,0,2,2,1,2,2,1,0,1
s2_1192-91a,1,0,1,2,0,0,0,2,0,0,1,1,1,1,1,1
s14_1192-73,2,2,2,1,2,2,2,2,0,0,0,2,1,1,1,1
s14_1192-70,1,1,1,1,1,1,1,0,2,2,2,1,1,2,2,0
s1_1192-60,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,0
s25_1192-44,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,0
s5_1192-125,1,0,1,2,2,1,1,1,1,1,0,1,1,2,2,0
s5_1192-74b,0,0,2,1,2,1,1,1,1,1,1,0,0,1,1,1
s17_1192-4b,1,1,1,0,1,0,0,0,1,1,2,0,0,1,0,1
s1_1192-98,0,0,1,2,0,2,2,1,0,0,0,0,1,2,2,1
s1_1192-99,2,2,2,1,2,1,1,2,1,1,1,0,0,1,2,2
s4_1192-71,0,0,1,0,1,1,1,0,1,1,1,2,2,2,2,1
s2_1192-63,0,1,1,2,1,1,0,0,1,1,1,2,2,2,1,1
s2_1192-93,1,2,2,1,1,1,1,1,0,1,1,1,2,1,1,1
s2_1192-95,2,2,1,2,1,1,2,2,2,2,1,0,0,1,1,1
s2_1192-67,2,2,2,2,0,2,2,2,1,1,1,2,2,1,1,2
s2_1192-64,1,1,1,0,1,0,0,1,2,2,2,1,1,2,2,2
s2_1192-65,0,1,1,0,1,2,2,1,1,1,1,1,1,0,0,1
s2_1192-61,2,2,1,1,1,0,0,2,2,2,1,1,0,0,0,0
s2_1192-68,1,1,0,0,1,1,1,1,1,2,2,1,1,0,0,2
s2_1192-101,2,0,1,2,1,1,1,2,1,2,2,2,2,1,1,1
s2_1192-91b,1,1,0,1,0,0,0,1,1,1,1,1,2,1,2,1
s5_1192-53,2,1,1,0,1,1,2,2,2,1,1,0,0,2,2,2
s5_1192-56,1,1,2,1,1,1,1,1,2,2,1,0,0,1,1,0
s5_1192-182,1,0,1,0,1,0,1,1,2,1,1,1,1,0,0,1
s5_1192-185,2,2,0,1,2,1,1,2,2,2,2,2,2,1,1,2
s5_1192-184,2,2,0,2,1,1,1,1,0,0,1,1,0,1,1,2
s57_1192-23,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1
s4_1192-96,2,1,0,2,2,2,2,2,2,2,1,0,0,1,1,0
s2_1192-75,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1
s2_1192-77,1,1,2,0,0,1,1,0,1,1,0,0,0,2,0,2
s2_1192-72,0,0,2,1,0,1,1,2,2,1,0,0,0,1,1,1
s2_1192-78,1,1,1,1,1,0,0,2,1,1,1,1,1,1,1,2
s57_1192-177,1,1,2,1,1,1,1,0,2,2,2,0,0,0,0,1
s57_1192-175,0,0,1,2,0,0,2,2,1,1,2,1,1,1,0,1
s57_1192-173,1,1,1,0,1,1,2,2,2,2,2,1,2,2,2,2
s4_1192-190,0,0,1,2,0,0,0,0,2,2,1,1,2,1,1,0
s25_1192-90,0,1,1,2,1,1,1,1,0,0,0,1,2,1,1,0
s4_1192-133,0,0,0,1,1,1,1,0,1,1,2,0,0,2,2,2
s1_1192-38,0,0,2,1,0,1,1,1,0,1,2,1,1,1,1,1
s1_1192-32,0,0,2,0,1,1,2,1,2,2,2,0,0,2,2,1
s3_1192-150,1,1,2,1,2,0,0,1,2,2,2,2,2,0,1,0
s2_1192-49,0,0,0,1,1,1,1,0,2,1,1,1,1,1,0,1
s1_1192-62,0,0,1,1,1,0,0,0,1,1,1,1,2,2,1,1
s2_1192-42,0,0,0,1,0,2,2,1,1,1,1,1,1,1,1,1
s2_1192-45,1,0,0,2,1,1,1,1,1,1,1,2,2,1,2,2
s2_1192-47,0,0,0,1,1,2,2,2,1,1,0,1,1,1,2,1
s257_1192-76,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1
s3_1192-157,1,1,1,0,2,1,1,2,1,1,1,1,1,2,1,0
s5_1192-146b,1,1,1,1,2,1,1,1,1,1,2,0,0,2,2,0
s7_1192-176,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1
s4_1192-126,0,0,0,2,1,0,0,1,2,2,0,0,0,1,1,1
