Probes,Inv_10a,Inv_11,Inv_17,Inv_25,Inv_29,Inv_3,Inv_32,Inv_35,Inv_38,Inv_39,Inv_40,Inv_42,Inv_43,Inv_49,Inv_53,Inv_55,Inv_58,Inv_60,Inv_62,Inv_7,Inv_9
s6_1034-162,1,1,1,1,2,2,2,2,1,0,0,0,0,0,1,1,0,1,0,1,1
s7_1034-159,0,0,1,0,1,0,0,0,1,2,2,2,1,2,2,1,0,1,0,1,0
s7_1034-156,1,0,0,1,1,1,0,0,2,0,0,0,1,2,2,1,1,2,2,1,1
s7_1034-153,1,1,1,2,2,1,0,0,1,2,2,2,1,1,1,1,1,1,1,1,1
s2_1034-21,1,1,2,1,1,1,0,1,2,1,0,0,0,0,0,0,1,1,2,1,1
s2_1034-20,1,1,0,2,2,0,1,1,0,1,1,1,1,0,0,0,2,2,2,1,1
s2_1034-22,1,1,1,0,1,0,1,1,0,2,2,1,0,1,1,0,2,2,1,2,1
s3_1034-48,2,2,1,1,2,0,2,2,1,1,1,1,1,1,0,0,1,0,1,2,2
s6_1034-176,2,2,1,2,2,2,1,1,0,0,1,1,2,1,1,1,1,1,2,2,2
s6_1034-177,2,2,1,1,0,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,2
s6_1034-171,2,2,0,2,2,0,2,2,1,1,1,0,1,0,1,1,1,1,1,1,2
s6_1034-178,2,2,1,0,1,0,2,2,2,0,0,1,1,2,1,1,1,0,1,1,2
s6_1034-179,1,1,2,1,2,0,2,2,0,2,2,0,0,0,1,1,2,1,1,1,1
s2_1034-7,0,1,2,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
s4_1034-79,1,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,0,2,2,1,1
s4_1034-70,2,2,2,2,0,1,1,1,2,2,2,2,2,1,2,0,1,0,0,2,2
s4_1034-71,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
s4_1034-72,0,0,0,1,0,1,1,0,1,0,0,2,2,1,1,1,1,1,1,1,0
s4_1034-75,1,1,1,2,1,1,1,0,1,1,1,0,1,2,1,1,1,2,1,0,1
s4_1034-76,2,2,1,0,2,1,2,2,1,0,0,1,1,2,1,1,0,0,1,2,2
s7_1034-143,0,0,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,2,1,0,0
s7_1034-140,0,0,0,1,1,0,2,1,2,2,2,2,1,2,1,1,1,1,0,0,0
s7_1034-145,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1
s3_1034-43,1,1,0,1,0,1,0,0,2,1,1,1,1,1,0,1,1,0,0,1,1
s2_1034-18,0,0,1,1,1,0,0,2,0,1,1,1,1,1,1,1,2,1,0,0,0
s2_1034-19,1,1,1,1,1,1,2,2,1,1,1,1,2,1,0,0,2,2,2,1,1
s2_1034-15,1,1,0,1,2,0,1,1,1,1,1,1,2,1,1,1,2,0,0,1,1
s2_1034-16,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,2,1,1,1,1
s2_1034-11,1,0,1,1,1,1,1,1,2,2,2,2,2,2,1,1,0,0,0,2,1
s2_1034-12,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,1,0
s2_1034-13,1,1,1,2,1,2,2,2,0,1,1,1,1,2,1,1,1,1,1,1,1
s6_1034-149,1,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,2,2,2,1
s5_1034-89,0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,2,1,1,0,0
s6_1034-141,2,2,0,1,0,2,1,1,0,2,1,1,1,1,1,1,2,2,0,2,2
s6_1034-142,1,1,1,1,0,0,1,1,1,1,1,0,0,2,1,1,2,1,1,2,1
s6_1034-144,0,0,1,1,1,2,1,1,2,0,0,1,1,1,1,0,1,1,1,0,0
s6_1034-147,0,0,1,1,1,1,0,0,1,2,2,1,1,0,0,0,1,0,0,0,0
s5_1034-87,1,1,1,2,1,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,1
s3_1034-14,0,0,1,1,0,1,1,1,1,1,1,1,1,2,1,0,2,2,2,1,0
s3_1034-17,1,1,1,2,1,1,0,0,2,2,2,2,2,2,1,1,2,1,0,1,1
s4_1034-69,1,1,1,2,0,1,0,0,1,2,2,2,2,0,0,0,0,0,0,1,1
s4_1034-68,2,2,2,1,1,1,2,2,2,1,0,1,1,1,0,0,0,0,0,2,2
s4_1034-66,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,0,0,1,1
s7_1034-134,1,0,0,0,0,2,1,1,2,0,1,1,1,2,0,0,0,1,1,1,1
s4_1034-81,0,0,1,2,1,2,1,0,0,2,2,2,2,1,1,0,1,0,1,1,0
s6_1034-157,1,1,2,2,1,1,2,1,1,0,0,0,0,1,1,1,2,2,2,1,1
s6_1034-154,2,1,1,1,1,0,0,1,1,0,1,2,2,2,2,1,2,1,0,1,2
s6_1034-155,1,1,2,1,1,1,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1
s6_1034-152,1,1,2,0,1,2,1,0,0,1,1,1,1,1,1,0,1,1,2,0,1
s6_1034-150,1,1,1,1,0,0,1,1,1,2,2,1,1,1,1,1,0,0,1,1,1
s6_1034-151,0,0,1,0,0,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0
s3_1034-2a,1,1,0,1,1,0,2,2,2,1,1,2,2,0,1,1,1,1,1,1,1
s3_1034-2b,0,0,1,1,1,1,0,0,2,1,1,1,1,0,1,1,1,1,2,0,0
s3_1034-28,2,2,2,2,1,0,0,0,1,2,2,1,1,1,1,1,2,1,1,2,2
s3_1034-29,1,1,1,1,2,0,2,1,1,0,0,0,0,1,1,1,2,2,1,1,1
s4_1034-92,0,1,1,2,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0
s4_1034-96,1,1,2,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,1
s4_1034-97,0,0,0,1,1,1,1,2,1,2,2,2,1,1,1,0,0,1,1,1,0
s4_1034-94,0,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,2,2,1,0,0
s4_1034-98,1,1,1,1,0,1,0,0,2,1,1,2,2,0,1,0,0,0,1,0,1
s7_1034-127,2,1,1,2,1,0,1,0,1,1,1,1,0,0,1,0,2,1,1,2,2
s7_1034-120,2,2,2,1,1,0,2,0,2,0,0,0,0,1,1,0,1,1,1,1,2
s7_1034-122,0,0,0,1,1,0,1,0,1,2,2,1,1,1,1,1,1,1,2,1,0
s3_1034-59,1,1,1,1,1,0,1,0,1,2,2,1,1,1,2,1,1,1,1,1,1
s3_1034-57,1,1,1,0,0,0,1,1,1,1,1,1,1,2,0,0,1,2,1,1,1
s3_1034-30,1,1,2,1,1,2,1,1,2,0,0,0,2,0,2,0,2,1,1,1,1
s3_1034-37,0,0,0,0,1,2,1,1,0,1,1,1,1,0,2,1,2,2,0,0,0
s3_1034-36,2,2,2,1,1,1,1,1,0,2,2,2,2,1,1,0,1,1,1,1,2
s7_1034-119,0,0,1,1,1,0,2,1,1,1,1,0,0,1,1,1,1,1,2,0,0
s7_1034-118,1,1,1,2,0,1,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1
s7_1034-112,1,1,1,0,1,1,1,1,1,2,2,1,1,0,0,2,0,0,1,0,1
s7_1034-117,1,1,0,1,2,2,0,2,2,0,0,0,0,2,2,1,2,2,2,1,1
s4_1034-56,2,2,1,0,1,2,0,0,1,1,1,1,2,1,1,1,1,2,2,2,2
s3_1034-46,2,2,0,1,0,1,1,1,2,0,0,0,0,2,0,0,1,0,0,2,2
s3_1034-47,2,2,1,1,1,2,1,1,1,2,1,0,1,1,0,1,1,2,2,2,2
s3_1034-45,2,2,2,1,1,2,1,1,0,2,2,1,1,0,1,1,2,2,2,1,2
s7_1034-106,1,1,2,1,1,0,1,1,0,2,2,1,1,2,1,1,1,1,1,0,1
s7_1034-104,2,1,2,2,0,2,1,1,1,1,1,1,0,1,0,1,0,0,0,2,2
s37_1034-8,2,2,1,0,1,1,1,2,0,1,1,0,0,0,0,0,0,1,1,1,2
s3_1034-33,2,2,1,1,1,1,1,1,2,1,1,1,1,0,2,1,1,1,2,2,2
s6_1034-184,1,0,0,1,2,1,0,1,2,0,0,0,1,2,1,1,0,0,1,1,1
s6_1034-187,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,2,2,2,2
s6_1034-186,2,2,0,1,0,1,0,1,1,2,2,1,1,1,1,1,2,1,1,2,2
s6_1034-180,2,2,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,2,2
s6_1034-183,0,0,2,1,1,1,1,1,1,1,1,0,0,2,1,1,2,2,2,1,0
s6_1034-182,1,1,2,1,2,1,0,0,0,0,0,1,1,0,0,0,2,2,2,1,1
s3_1034-55,1,1,2,0,0,1,1,1,0,1,1,0,0,0,2,1,1,1,2,1,1
s3_1034-54,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0
s3_1034-52,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,0,1,2,2,2,1
s3_1034-62,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,1,1
s6_1034-148,0,0,1,1,1,1,0,2,1,1,2,2,1,1,0,0,1,1,1,1,0
s67_1034-133,1,1,1,1,1,1,0,1,2,0,1,1,1,0,1,1,2,1,0,1,1
s3_1034-22b,1,1,1,1,0,2,0,1,1,0,1,1,2,0,2,1,2,2,1,1,1
s7_1034-99,0,0,1,1,1,2,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0
s7_1034-78,0,0,1,2,1,1,0,1,0,1,1,1,0,1,2,1,2,2,2,1,0
s67_1034-123,1,1,0,1,1,1,1,1,2,2,2,2,2,0,2,1,1,2,2,2,1
s7_1034-138,2,1,1,0,2,1,2,2,1,2,2,2,1,1,0,0,0,1,1,2,2
s2_1034-91,1,1,0,0,2,0,1,0,1,0,0,2,2,0,1,1,0,2,1,1,1
s2_1034-93,0,0,1,2,1,1,2,2,0,1,1,1,1,1,0,1,1,1,1,0,0
s6_1034-129,0,0,0,1,1,1,2,2,1,2,2,2,1,1,1,1,1,0,0,1,0
s6_1034-128,0,0,1,1,1,2,1,1,0,1,1,2,1,1,0,0,0,1,1,0,0
s6_1034-121,1,1,1,1,2,1,2,1,2,0,0,0,0,0,0,0,2,1,0,1,1
s6_1034-126,1,1,0,1,2,1,1,1,1,0,1,1,1,1,0,1,2,1,1,0,1
s6_1034-124,0,0,1,2,2,2,1,1,0,2,2,1,1,0,1,1,2,2,1,1,0
s2_1034-88,0,0,2,1,1,0,1,1,0,1,1,1,2,1,0,0,2,2,2,0,0
s2_1034-83,1,1,1,0,2,2,2,2,0,2,2,2,1,1,1,1,1,1,1,2,1
s2_1034-82,1,1,2,1,2,1,1,0,1,1,1,0,0,0,1,1,1,0,0,2,1
s2_1034-86,1,1,1,2,1,1,0,1,0,2,0,0,0,0,1,1,1,1,1,2,1
s2_1034-85,1,1,2,1,0,2,0,0,2,1,1,1,1,0,0,0,2,1,0,1,1
s2_1034-84,1,1,1,1,0,0,0,0,2,1,1,1,1,1,1,1,1,1,0,0,1
s3_1034-21b,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
s7_1034-158,1,1,1,1,2,2,2,2,2,1,1,1,0,1,1,1,1,2,1,1,1
s5_1034-10,0,0,1,1,1,1,1,1,1,1,1,2,2,0,0,0,2,2,1,1,0
s6_1034-139,1,1,2,1,0,1,1,1,1,0,0,1,1,1,1,1,2,1,2,1,1
s6_1034-131,1,1,1,0,2,1,0,0,2,2,2,1,1,1,2,1,0,1,1,1,1
s6_1034-132,1,1,2,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
s6_1034-137,0,1,1,1,1,2,2,2,2,1,0,0,0,1,1,1,1,1,1,0,0
s7_1034-53,1,1,1,1,2,0,1,1,1,2,2,2,1,1,1,1,0,0,0,1,1
s3_1034-40,2,2,1,1,1,2,0,0,2,1,2,2,1,2,1,1,2,2,2,2,2
s3_1034-41,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,2,2,2,1,1
s6_1034-109,2,2,0,2,0,1,1,1,2,0,1,1,1,1,1,0,0,1,1,2,2
s6_1034-108,2,2,1,1,1,1,1,1,2,1,1,0,0,1,2,1,0,0,1,2,2
s6_1034-105,0,0,2,0,1,0,0,0,1,0,0,0,1,1,2,0,0,1,1,1,0
s6_1034-107,0,0,2,1,2,1,2,2,1,2,2,2,1,1,1,1,1,1,2,1,0
s6_1034-103,0,0,2,1,0,2,1,1,1,2,2,1,1,1,1,1,0,1,1,0,0
s6_1034-102,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,0,1
