Probes,Inv_10b,Inv_14,Inv_18,Inv_23,Inv_29,Inv_32,Inv_35,Inv_36,Inv_37,Inv_39,Inv_40,Inv_49,Inv_48,Inv_5,Inv_53,Inv_57,Inv_59,Inv_62,Inv_7,Inv_8
s3_62-172,0,1,1,1,2,2,2,0,1,2,2,2,1,2,1,2,2,1,0,0
s3_62-171,1,1,1,2,0,0,1,2,2,1,1,1,1,2,1,2,1,1,1,1
s3_62-170,1,1,1,2,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,1
s3_62-179,0,2,0,1,1,1,1,0,1,2,2,1,1,0,0,1,1,1,1,1
s3_62-178,1,2,0,0,1,2,1,0,0,1,1,1,1,2,1,2,1,1,0,1
s5_62-99,2,2,2,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,2,2
s5_62-94,1,2,1,2,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,1
s5_62-118,1,2,2,1,0,1,1,1,2,0,1,1,1,1,1,0,0,2,1,1
s3_62-168,2,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,2,1,2
s3_62-162,1,1,1,2,0,1,1,1,2,1,1,1,1,1,2,0,0,1,1,1
s3_62-164,1,1,1,1,1,1,0,1,2,1,1,2,1,0,1,1,2,1,1,1
s3_62-165,0,1,2,2,1,2,1,0,0,2,1,0,1,1,1,1,2,2,1,0
s3_62-167,0,0,1,1,1,0,0,1,1,1,1,2,0,1,1,2,2,1,0,0
s57_62-106,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,0,0,0,0,1
s5_62-153,0,1,1,2,1,1,1,1,1,1,1,1,1,0,2,0,0,1,0,0
s5_62-152,0,2,2,0,2,1,1,1,1,1,1,1,2,2,1,0,0,1,1,0
s3_62-102,2,1,0,2,2,2,1,1,1,1,1,0,2,1,1,1,1,0,1,2
s3_62-100,1,1,1,1,0,0,1,0,0,1,1,2,2,0,1,0,0,0,2,1
s5_62-145,0,1,2,0,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2
s5_62-146,1,0,1,2,1,1,2,1,2,0,0,1,1,1,2,2,2,0,1,1
s5_62-147,0,1,0,0,0,0,1,1,0,1,1,2,1,0,1,0,0,1,1,0
s5_62-141,1,2,0,2,1,1,1,1,1,2,2,0,0,1,0,1,1,0,0,1
s3_62-112,2,1,2,1,1,1,2,0,1,1,1,1,2,2,0,1,1,2,2,2
s57_62-127,0,2,0,0,1,2,2,1,1,2,2,1,1,1,0,0,0,1,0,0
s57_62-136,2,2,2,1,1,2,1,2,2,1,1,2,0,2,2,1,1,0,1,2
s5_62-183,1,2,1,1,1,1,0,1,1,0,0,2,2,1,0,1,1,1,2,2
s5_62-184,2,1,2,1,0,1,0,1,1,2,2,1,0,2,1,1,1,0,1,2
s4_62-122,1,1,0,1,0,1,2,2,2,1,1,0,1,1,1,2,2,2,1,1
