Probes,Inv_10b,Inv_20,Inv_21,Inv_22,Inv_24,Inv_29,Inv_30,Inv_32,Inv_35,Inv_39,Inv_40,Inv_43,Inv_45,Inv_48,Inv_50,Inv_51,Inv_54,Inv_56,Inv_62,Inv_6a,Inv_7,Inv_9
s5_664-176,2,2,1,1,1,1,2,1,2,2,2,1,1,0,0,0,2,1,1,0,2,2
s5_664-177,0,0,1,1,2,1,1,1,1,1,1,2,2,0,1,1,1,1,2,2,0,0
s5_664-170,1,0,1,1,1,0,0,0,0,1,1,2,2,2,2,2,1,1,1,1,1,1
s5_664-173,1,0,2,2,1,2,2,2,2,0,0,0,1,2,1,1,1,2,0,2,1,1
s5_664-178,2,1,1,0,1,2,2,2,2,2,2,1,1,0,1,1,1,1,1,1,2,2
s4_664-127,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1
s1_664-87,1,0,2,2,0,2,2,1,0,1,1,0,0,2,1,1,2,2,1,1,1,1
s1_664-86,0,0,0,0,1,0,0,0,1,2,2,2,1,1,2,2,1,2,1,0,0,0
s1_664-82,0,0,0,1,1,2,2,2,2,0,0,1,1,1,1,1,0,0,2,1,2,0
s1_664-80,0,1,1,1,0,0,1,2,2,1,2,0,0,2,2,2,0,0,0,2,0,0
s1_664-89,1,1,0,0,1,2,2,2,1,0,0,2,2,1,0,0,0,0,0,1,2,1
s1_664-88,2,1,0,0,0,2,2,1,1,1,1,1,1,1,0,0,1,2,1,0,2,2
s5_664-83,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1
s5_664-84,1,1,0,0,0,2,2,2,1,0,0,1,1,0,1,1,1,1,1,1,1,1
s15_664-60,0,1,2,1,0,2,2,1,1,1,1,1,1,1,0,0,1,2,2,1,0,0
s5_664-161,2,1,2,2,0,0,0,0,1,1,1,1,1,1,1,1,2,1,0,2,2,2
s5_664-160,1,2,0,0,0,1,1,0,0,0,0,1,2,1,1,1,1,1,0,2,2,1
s5_664-167,2,1,1,1,2,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0,1,2
s4_664-138,2,1,1,1,1,0,0,1,2,1,1,1,1,0,2,2,0,1,1,1,2,2
s4_664-131,2,0,1,1,1,1,1,0,1,1,1,2,2,1,0,0,0,0,1,2,2,2
s4_664-133,1,1,0,0,2,0,0,1,0,2,2,1,1,2,1,1,1,1,2,2,0,1
s4_664-132,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,0,2,1,0,1
s4_664-134,0,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,0,1,1,0
s3_664-171b,0,2,1,1,0,1,1,1,1,2,2,2,2,2,1,1,1,0,2,1,0,0
s1_664-98,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
s1_664-90,1,1,2,2,0,2,2,0,0,1,1,2,2,1,1,1,1,1,1,1,0,1
s1_664-93,2,1,1,1,2,1,1,0,0,1,1,1,2,1,2,2,2,1,1,1,2,2
s1_664-94,2,1,1,1,2,2,2,2,2,2,2,0,0,1,1,1,1,2,2,2,1,2
s4_664-49,0,1,1,1,1,0,1,1,1,0,0,0,1,2,1,1,0,1,0,1,0,0
s4_664-105,1,2,2,2,1,0,0,1,2,2,2,1,1,1,1,1,1,1,0,1,1,1
s4_664-106,1,0,2,2,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,1
s4_664-107,1,0,1,1,2,1,2,2,2,0,0,1,1,0,2,2,2,1,2,2,0,1
s5_664-61,2,1,2,2,1,0,0,0,1,2,2,2,2,0,0,0,1,1,1,1,1,2
s5_664-63,0,2,1,1,2,0,0,0,2,1,1,1,1,0,1,1,2,1,1,2,0,0
s5_664-62,0,1,1,1,0,1,1,1,1,2,2,0,0,1,1,1,1,2,1,1,0,0
s5_664-65,1,1,2,2,0,0,1,1,0,2,2,0,0,1,0,0,1,1,2,2,1,1
s7_664-198,1,0,0,0,1,1,0,0,0,2,2,1,1,1,1,1,1,2,0,0,1,1
s7_664-76,2,0,2,2,1,1,1,1,1,0,0,1,1,1,2,2,1,0,2,2,1,2
s5_664-72,0,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,1,0,2,1,0,0
s5_664-78,1,1,0,0,0,2,2,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1
s4_664-166,0,1,2,2,2,2,2,2,1,1,1,2,2,0,2,2,2,1,0,2,0,0
s4_664-165,1,0,2,2,1,2,2,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1
s4_664-162,1,2,0,1,1,2,2,2,0,2,1,0,0,1,1,1,1,2,1,0,1,1
s4_664-168,0,0,1,1,0,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,0,0
s3_664-121,1,1,1,2,1,2,1,2,0,1,1,1,1,0,2,2,2,1,0,0,2,1
s3_664-120,1,1,0,0,0,2,2,2,0,0,0,0,0,1,2,2,1,1,1,1,2,1
s3_664-123,1,2,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,2,1,0,1
s3_664-122,2,0,1,2,1,1,1,2,2,1,2,2,2,0,1,1,2,1,1,1,2,2
s3_664-126,0,1,1,1,1,1,1,2,1,0,0,2,2,1,0,0,1,2,1,1,1,0
s1_664-23,1,0,1,1,1,0,0,0,0,1,1,2,2,2,2,2,0,2,2,2,0,1
s1_664-22,1,0,1,1,1,2,1,1,1,2,2,1,1,0,1,1,1,1,1,1,1,1
s4_664-92,2,2,1,1,0,2,0,0,0,2,2,2,2,0,2,2,2,0,0,1,1,2
s4_664-96,1,0,1,1,2,1,1,0,1,1,1,1,2,1,2,2,0,2,1,1,1,1
s4_664-95,0,1,0,0,0,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,0,0
s5_664-44,0,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,1,0
s5_664-42,0,0,2,2,2,1,1,0,0,0,0,0,0,2,2,2,2,1,1,1,0,0
s4_664-77,1,2,0,0,2,2,2,2,2,2,1,1,1,1,1,1,2,0,1,1,1,1
s3_664-118,1,1,0,0,1,2,1,1,1,2,2,1,1,2,1,1,1,0,2,2,1,1
s3_664-119,1,1,1,1,0,0,0,0,1,2,2,1,1,0,0,0,1,0,0,2,1,1
s3_664-115,2,1,1,1,1,1,1,1,1,0,0,1,2,0,1,1,1,2,1,0,2,2
s3_664-116,1,2,1,1,2,0,2,2,1,2,2,1,1,1,0,0,2,2,2,1,1,1
s3_664-117,1,1,2,2,1,0,0,0,2,1,1,0,0,0,0,0,0,1,2,1,1,1
s3_664-110,1,1,0,0,1,1,2,1,1,1,0,1,1,1,1,1,1,1,2,2,1,1
s3_664-111,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1
s3_664-112,2,0,2,2,1,2,0,0,0,2,2,1,1,1,2,2,1,2,1,1,2,2
s3_664-113,0,1,2,2,1,1,1,1,1,2,1,0,0,1,0,0,1,0,1,2,1,0
s57_664-172,0,1,2,2,1,0,0,1,2,1,1,1,1,1,0,0,0,2,1,0,0,0
s1_664-33,1,1,1,1,0,0,0,0,1,1,2,2,1,1,1,1,1,0,0,1,1,1
s4_664-81,1,2,2,2,0,2,2,0,0,2,2,1,1,1,1,1,2,1,1,2,0,1
s2_664-124a,2,1,2,2,1,1,1,1,2,0,0,0,1,2,2,2,1,2,0,1,2,2
s5_664-58,1,1,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,2,1,1
s5_664-53,2,1,2,2,1,1,1,1,1,1,1,0,0,2,1,1,0,1,0,0,2,2
s5_664-55,1,1,1,1,0,1,2,2,1,2,2,0,0,0,0,0,1,1,2,1,1,1
s4_664-67,1,0,0,0,1,2,2,1,1,1,1,1,1,1,0,0,1,1,1,2,1,1
s2_664-103,2,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2
s4_664-149,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2
s4_664-140,1,0,1,2,1,1,0,0,0,1,2,2,1,0,0,0,1,1,0,0,1,1
s4_664-145,0,2,1,1,1,2,2,1,1,1,1,0,0,2,0,0,1,1,1,2,1,0
s4_664-146,0,0,2,2,1,1,1,1,2,1,0,0,0,0,1,1,0,1,1,0,1,0
s4_664-147,0,1,0,0,1,1,2,1,1,0,0,0,0,1,2,2,2,2,1,0,1,0
s7_664-24,0,1,1,1,1,2,2,2,1,0,0,1,1,0,2,2,0,2,0,2,1,0
s4_664-14b,1,0,2,2,1,0,0,0,1,2,1,1,1,0,1,1,2,1,1,1,0,1
s3_664-109,2,0,0,1,2,2,1,1,2,1,1,1,0,1,1,1,1,2,2,0,2,2
s5_664-28,1,2,1,1,1,1,1,1,1,0,0,1,1,0,2,2,0,1,2,1,1,1
s5_664-27,1,0,2,2,1,2,2,1,0,1,2,2,2,0,0,0,1,2,1,1,0,1
s4_664-52,0,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,0
s4_664-51,0,1,2,2,1,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,0,0
s7_664-142,2,2,1,1,2,1,1,1,1,1,1,1,1,0,2,2,1,2,1,2,1,2
s4_664-154,1,2,2,2,2,2,2,1,1,1,1,0,0,1,1,1,1,0,0,2,2,1
s4_664-153,1,1,2,2,0,1,1,1,2,1,0,0,0,0,0,0,2,1,0,2,1,1
s4_664-152,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,0,2,1,0,2,2
s4_664-151,1,1,0,0,1,1,2,1,0,2,2,2,2,1,1,1,2,0,0,2,1,1
s4_664-150,2,0,2,2,0,0,1,1,1,2,2,1,1,1,2,2,1,2,0,2,1,2
s7_664-136,1,2,0,0,1,1,1,1,1,1,1,0,0,2,0,0,0,1,1,1,0,1
s3_664-124b,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1
s1_664-11,1,1,0,0,1,1,1,2,2,1,0,0,1,1,1,1,0,1,1,1,1,1
s5_664-38,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1
s5_664-35,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,2,1,1
s5_664-31,1,0,2,2,1,1,1,1,0,1,1,1,1,1,2,2,1,1,0,2,1,1
s4_664-40,1,0,2,2,0,0,0,1,2,1,0,0,0,1,2,2,1,1,2,1,1,1
s4_664-41,2,0,1,2,1,2,2,1,0,1,1,1,1,2,2,2,1,2,1,0,2,2
s7_664-129,1,1,1,1,1,2,1,1,1,0,0,1,1,0,1,1,1,2,0,1,1,1
s7_664-128,0,2,2,2,1,0,1,1,0,1,1,1,1,1,1,1,2,0,1,1,0,0
s5_664-196,0,1,1,1,0,0,0,1,1,0,1,2,2,1,1,1,0,0,1,2,0,0
s5_664-197,1,0,0,0,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1
s3_664-164,0,0,2,2,0,1,2,2,2,0,0,1,1,1,0,0,2,2,1,1,0,0
s3_664-163,0,0,1,1,0,2,2,2,2,0,0,0,0,1,2,2,1,1,1,1,1,0
s3_664-169,2,1,0,0,0,2,2,2,1,1,1,2,1,0,1,1,1,2,2,0,1,2
s25_664-102,1,1,0,1,1,2,2,2,2,1,1,1,1,1,0,0,2,1,2,1,1,1
s5_664-91,1,2,1,1,0,2,2,2,1,1,1,1,2,1,2,2,1,1,0,2,0,1
s1_664-64,0,0,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,0,2,1,1,0
s1_664-66,1,2,0,0,0,1,1,0,0,2,2,0,1,2,1,1,1,1,0,1,2,1
s1_664-68,1,0,1,1,1,2,1,2,2,1,1,0,0,1,2,2,1,2,1,1,1,1
s4_664-34,0,1,1,1,1,2,1,0,0,1,0,0,0,1,2,2,0,1,1,1,0,0
s4_664-37,0,1,2,2,1,1,2,2,1,1,1,1,1,0,1,1,1,1,2,1,1,0
s4_664-32,1,2,1,1,0,2,2,2,1,1,1,2,2,1,2,2,1,1,0,1,1,1
s4_664-39,1,2,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1
